arredamos	ar|re|da$mos|
arruaríamos	ar|ru|a|rí$a|mos|
bácoros	bá$co|ros|
Mercúrio	mer|cú$rio|
reemendáveis	re|e|men|dá$veis|
exuberados	e|xu|be|ra$dos|
dinamitados	di|na|mi|ta$dos|
listremos	lis|tre$mos|
preconceberei	pre|con|ce|be|rei$
repicada	re|pi|ca$da|
apelastes	a|pe|las$tes|
desguarneçais	des|guar|ne|çais$
apaladámos	a|pa|la|dá$mos|
engalanava	en|ga|la|na$va|
caias	cai$as|
recolhê-lo-ás	re|co|lhê|lo|ás$
transcendesses	trans|cen|des$ses|
gripavas	gri|pa$vas|
queijeis	quei|jeis$
radiodifundamos	ra|di|o|di|fun|da$mos|
empacotariam	em|pa|co|ta|ri|am$
cronicaríeis	cro|ni|ca|rí$eis|
galhardia	ga|lhar|di$a|
destravavam	des|tra|va|vam$
autenticadoras	au|ten|ti|ca|do$ras|
sentimento	sen|ti|men$to|
enérgico	e|nér$gi|co|
propalarias	pro|pa|la|ri$as|
uniformizara	u|ni|for|mi|za$ra|
apelidar-me-ás	a|pe|li|dar|me|ás$
empecilhamos	em|pe|ci|lha$mos|
deteriorara	de|te|ri|o|ra$ra|
agacharas	a|ga|cha$ras|
esposaram	es|po|sa$ram|
contraíssem	con|tra|ís$sem|
elogiar-nos-emos	e|lo|gi|ar|nos|e$mos|
capoteáramos	ca|po|te|á$ra|mos|
assoreamentos	as|so|re|a|men$tos|
implantou	im|plan|tou$
bitolavam	bi|to|la|vam$
defrontar-nos-íamos	de|fron|tar|nos|í$a|mos|
espezinharíeis	es|pe|zi|nha|rí$eis|
predeterminávamos	pre|de|ter|mi|ná$va|mos|
democratizarão	de|mo|cra|ti|za|rão$
fosforizariam	fos|fo|ri|za|ri|am$
ganchar-nos	gan|char$nos|
originadores	o|ri|gi|na|do$res|
catolizavam	ca|to|li|za|vam$
desocupemos	de|so|cu|pe$mos|
polcar-me-á	pol|car|me|á$
poliglota	po|li|glo$ta|
tresmalhámos	tres|ma|lhá$mos|
fragmentáveis	frag|men|tá$veis|
adubara	a|du|ba$ra|
depenicarei	de|pe|ni|ca|rei$
impertinenciasses	im|per|ti|nen|ci|as$ses|
desprovestes	des|pro|ves$tes|
engraces	en|gra$ces|
sugava	su|ga$va|
abonaríeis	a|bo|na|rí$eis|
toiletta	toi|let$ta|
desenguiçavam	de|sen|gui|ça|vam$
imperícia	im|pe|rí$cia|
endeusarão	en|deu|sa|rão$
modelizardes	mo|de|li|zar$des|
respiraras	res|pi|ra$ras|
despenhavas	des|pe|nha$vas|
desgovernareis	des|go|ver|na|reis$
gritarás	gri|ta|rás$
quebrantasse	que|bran|tas$se|
desafogasse	de|sa|fo|gas$se|
esforçara	es|for|ça$ra|
embrandecia	em|bran|de|ci$a|
eh	eh$
resistirão	re|sis|ti|rão$
entreabristes	en|tre|a|bris$tes|
mecanizar-te-ás	me|ca|ni|zar|te|ás$
acedeis	a|ce|deis$
apertadas	a|per|ta$das|
alinhavar-nos-á	a|li|nha|var|nos|á$
paragrafastes	pa|ra|gra|fas$tes|
reorientara	re|o|ri|en|ta$ra|
topássemos	to|pás$se|mos|
vitaminizar-lhes-iam	vi|ta|mi|ni|zar|lhes|i|am$
caucioná-lo-ão	cau|ci|o|ná|lo|ão$
lisonjeiro	li|son|jei$ro|
aguisais	a|gui|sais$
apolvilha	a|pol|vi$lha|
mijadas	mi|ja$das|
desratasses	des|ra|tas$ses|
empolgar-lhe-emos	em|pol|gar|lhe|e$mos|
mentalizas	men|ta|li$zas|
iluminar-lhe-ás	i|lu|mi|nar|lhe|ás$
ziguezagueava	zi|gue|za|gue|a$va|
tiver-me-iam	ti|ver|me|i|am$
divinizá-los	di|vi|ni|zá|los$
orar-te-emos	o|rar|te|e$mos|
estofásseis	es|to|fás$seis|
invalidareis	in|va|li|da|reis$
empaticamente	em|pa|ti|ca|men$te|
perpassamos	per|pas|sa$mos|
pelejei	pe|le|jei$
dessincronizarás	des|sin|cro|ni|za|rás$
minarão	mi|na|rão$
inebriamentos	i|ne|bri|a|men$tos|
regerarem	re|ge|ra$rem|
Vingt	vin|gt$
fanfavam	fan|fa|vam$
bafando	ba|fan$do|
encaminhadora	en|ca|mi|nha|do$ra|
desentranhara	de|sen|tra|nha$ra|
subpunham	sub|pu|nham$
escanhoásseis	es|ca|nho|ás$seis|
labregar-lhe-ei	la|bre|gar|lhe|ei$
apostolizam	a|pos|to|li|zam$
utente	u|ten$te|
trecho	tre$cho|
desgostarias	des|gos|ta|ri$as|
desobedecerei	de|so|be|de|ce|rei$
cordoemos	cor|do|e$mos|
coassem	co|as$sem|
copiada	co|pi|a$da|
orlavam	or|la|vam$
semearíamos	se|me|a|rí$a|mos|
esfregações	es|fre|ga|ções$
hospedeis	hos|pe|deis$
abastonar-me-íamos	a|bas|to|nar|me|í$a|mos|
espaçáreis	es|pa|çá$reis|
falcoar-lhe-ás	fal|co|ar|lhe|ás$
ameninai	a|me|ni|nai$
contraviremos	con|tra|vi|re$mos|
brigarão	bri|ga|rão$
bicados	bi|ca$dos|
buracarás	bu|ra|ca|rás$
contabilizastes	con|ta|bi|li|zas$tes|
batotais	ba|to|tais$
mugidores	mu|gi|do$res|
bexigasses	be|xi|gas$ses|
assimulação	as|si|mu|la|ção$
sonetariam	so|ne|ta|ri|am$
anuíssemos	a|nu|ís$se|mos|
ambientados	am|bi|en|ta$dos|
acotoveláreis	a|co|to|ve|lá$reis|
frases	fra$ses|
secretariaste	se|cre|ta|ri|as$te|
barracões	bar|ra|cões$
englobamentos	en|glo|ba|men$tos|
ofuscassem	o|fus|cas$sem|
futebolistas	fu|te|bo|lis$tas|
plebiscitara	ple|bis|ci|ta$ra|
versarias	ver|sa|ri$as|
biscatearmos	bis|ca|te|ar$mos|
frigoríficas	fri|go|rí$fi|cas|
linearizámos	li|ne|a|ri|zá$mos|
cristalinidade	cris|ta|li|ni|da$de|
comeu	co|meu$
vigarizamos	vi|ga|ri|za$mos|
sobrevoaremos	so|bre|vo|a|re$mos|
vestes	ves$tes|
emperrávamos	em|per|rá$va|mos|
ovículo	o|ví$cu|lo|
arreasse	ar|re|as$se|
incoadunáveis	in|co|a|du|ná$veis|
carburámos	car|bu|rá$mos|
adir	a|dir$
peremptoriamente	pe|remp|to|ri|a|men$te|
espatifarmos	es|pa|ti|far$mos|
serpenteai	ser|pen|te|ai$
desaliar-lhe-ei	de|sa|li|ar|lhe|ei$
sensaborizava	sen|sa|bo|ri|za$va|
relegarás	re|le|ga|rás$
gagueje	ga|gue$je|
arrumarmos	ar|ru|mar$mos|
esturricares	es|tur|ri|ca$res|
desenxofrar-se-ia	de|sen|xo|frar|se|i$a|
ostreífero	os|tre|í$fe|ro|
medicamentada	me|di|ca|men|ta$da|
alegorizáveis	a|le|go|ri|zá$veis|
credibilizáreis	cre|di|bi|li|zá$reis|
indrominavas	in|dro|mi|na$vas|
apaniguo	a|pa|ni|gu$o|
cantarejados	can|ta|re|ja$dos|
reteimo	re|tei$mo|
desremediavas	des|re|me|di|a$vas|
salgueiro	sal|guei$ro|
ramificassem	ra|mi|fi|cas$sem|
impérios	im|pé$rios|
comportaste	com|por|tas$te|
gregas	gre$gas|
comprazerei	com|pra|ze|rei$
odeio	o|dei$o|
robotizando	ro|bo|ti|zan$do|
desembolsada	de|sem|bol|sa$da|
aliciaremos	a|li|ci|a|re$mos|
enfear-vos	en|fe|ar$vos|
escalpássemos	es|cal|pás$se|mos|
impertinenciado	im|per|ti|nen|ci|a$do|
procedeste	pro|ce|des$te|
desencurralámos	de|sen|cur|ra|lá$mos|
enrobustecer-me-ás	en|ro|bus|te|cer|me|ás$
repisadores	re|pi|sa|do$res|
empoleirava	em|po|lei|ra$va|
mandatássemos	man|da|tás$se|mos|
desarvorariam	de|sar|vo|ra|ri|am$
desfortalecerem	des|for|ta|le|ce$rem|
sobrescritos	so|bres|cri$tos|
motivámos	mo|ti|vá$mos|
autenticaremos	au|ten|ti|ca|re$mos|
electrificastes	e|lec|tri|fi|cas$tes|
apodreceu	a|po|dre|ceu$
descurareis	des|cu|ra|reis$
destratem	des|tra$tem|
hifenizava	hi|fe|ni|za$va|
bisnagásseis	bis|na|gás$seis|
ruminações	ru|mi|na|ções$
provenhais	pro|ve|nhais$
chapou	cha|pou$
desencarregar-vos-emos	de|sen|car|re|gar|vos|e$mos|
apunhalares	a|pu|nha|la$res|
cariciar-lhes-ei	ca|ri|ci|ar|lhes|ei$
embolsar-me-eis	em|bol|sar|me|eis$
embeiçado	em|bei|ça$do|
distenderas	dis|ten|de$ras|
antedizerem	an|te|di|ze$rem|
adiamante	a|di|a|man$te|
contrasteassem	con|tras|te|as$sem|
acidentar-me-ia	a|ci|den|tar|me|i$a|
braceássemos	bra|ce|ás$se|mos|
madura	ma|du$ra|
mantenha-nos	man|te$nha|nos|
encontravam	en|con|tra|vam$
redecorasse	re|de|co|ras$se|
bibliografares	bi|bli|o|gra|fa$res|
observa	ob|ser$va|
esposar-lhes-emos	es|po|sar|lhes|e$mos|
extrapolações	ex|tra|po|la|ções$
reconsolidada	re|con|so|li|da$da|
interligásseis	in|ter|li|gás$seis|
esfarelaras	es|fa|re|la$ras|
mascou	mas|cou$
tumultuarem	tu|mul|tu|a$rem|
golfejar-lhes-emos	gol|fe|jar|lhes|e$mos|
arquipélago	ar|qui|pé$la|go|
vulcanizaste	vul|ca|ni|zas$te|
aconteceríamos	a|con|te|ce|rí$a|mos|
perfazer-vos-íeis	per|fa|zer|vos|í$eis|
afilio	a|fi|li$o|
melodiarias	me|lo|di|a|ri$as|
emborracheis	em|bor|ra|cheis$
viajados	vi|a|ja$dos|
trivializada	tri|vi|a|li|za$da|
tabeleis	ta|be|leis$
discrepado	dis|cre|pa$do|
consensualizáreis	con|sen|su|a|li|zá$reis|
atomataríamos	a|to|ma|ta|rí$a|mos|
lampejante	lam|pe|jan$te|
curardes	cu|rar$des|
posponde	pos|pon$de|
submissões	sub|mis|sões$
comprazereis-lhe	com|pra|ze|reis$lhe|
parametrizarei	pa|ra|me|tri|za|rei$
desbobinaremos	des|bo|bi|na|re$mos|
escasseássemos	es|cas|se|ás$se|mos|
mimosear-lhas	mi|mo|se|ar|lhas$
chibatavam	chi|ba|ta|vam$
agregara	a|gre|ga$ra|
bifurcais	bi|fur|cais$
choramingados	cho|ra|min|ga$dos|
aninharia	a|ni|nha|ri$a|
cabularão	ca|bu|la|rão$
vangloriásseis	van|glo|ri|ás$seis|
avelhares	a|ve|lha$res|
renunciar	re|nun|ci|ar$
lotarei	lo|ta|rei$
perfumaremos	per|fu|ma|re$mos|
enviuváramos	en|vi|u|vá$ra|mos|
inabilitavam	i|na|bi|li|ta|vam$
desfilaríeis	des|fi|la|rí$eis|
encandeáveis	en|can|de|á$veis|
indagámos	in|da|gá$mos|
fermento	fer|men$to|
matraqueásseis	ma|tra|que|ás$seis|
conseguir-vos-emos	con|se|guir|vos|e$mos|
depurado	de|pu|ra$do|
perdulariando	per|du|la|ri|an$do|
eclodiríeis	e|clo|di|rí$eis|
atrofio	a|tro|fi$o|
bruxavam	bru|xa|vam$
voejados	vo|e|ja$dos|
perversidades	per|ver|si|da$des|
incapacitar-nos-ia	in|ca|pa|ci|tar|nos|i$a|
hidrogenadas	hi|dro|ge|na$das|
destrambelhar-lhes-ás	des|tram|be|lhar|lhes|ás$
genovesa	ge|no|ve$sa|
bifurcarias	bi|fur|ca|ri$as|
aguilhoadas	a|gui|lho|a$das|
maldiçoarem	mal|di|ço|a$rem|
mitificámos	mi|ti|fi|cá$mos|
espermatizarem	es|per|ma|ti|za$rem|
bifurcarás	bi|fur|ca|rás$
vibrados	vi|bra$dos|
rastreariam	ras|tre|a|ri|am$
acalçasse	a|cal|ças$se|
Lusíadas	lu|sí$a|das|
depenavas	de|pe|na$vas|
percepcionava	per|cep|ci|o|na$va|
repicarei	re|pi|ca|rei$
incrementam	in|cre|men|tam$
palpabilizaríamos	pal|pa|bi|li|za|rí$a|mos|
tagarelo	ta|ga|re$lo|
agrido-se	a|gri$do|se|
importar	im|por|tar$
embodegavam	em|bo|de|ga|vam$
remarquemos	re|mar|que$mos|
experimentam	ex|pe|ri|men|tam$
arrebatou	ar|re|ba|tou$
proscrevíeis	pros|cre|ví$eis|
desoxigenado	de|so|xi|ge|na$do|
algaliai	al|ga|li|ai$
anemizaram	a|ne|mi|za$ram|
enoveleis	e|no|ve|leis$
troteámos	tro|te|á$mos|
emproamos	em|pro|a$mos|
desculpabilizam	des|cul|pa|bi|li|zam$
correspondente	cor|res|pon|den$te|
desipoteco	de|si|po|te$co|
autenticarmos	au|ten|ti|car$mos|
isentos	i|sen$tos|
atravancarem	a|tra|van|ca$rem|
aberrai	a|ber|rai$
lacere	la|ce$re|
pastorarmos	pas|to|rar$mos|
alfabetizaras	al|fa|be|ti|za$ras|
cordoarem	cor|do|a$rem|
aprazáveis	a|pra|zá$veis|
engarrafamos	en|gar|ra|fa$mos|
treinar	trei|nar$
reverter	re|ver|ter$
contornearas	con|tor|ne|a$ras|
vampirizes	vam|pi|ri$zes|
alinhavassem	a|li|nha|vas$sem|
cambiarão	cam|bi|a|rão$
reescrevam	re|es|cre|vam$
desmandei	des|man|dei$
dormites	dor|mi$tes|
cercear-lhes-iam	cer|ce|ar|lhes|i|am$
privilegiáreis	pri|vi|le|gi|á$reis|
peláramos	pe|lá$ra|mos|
espreguiçaras	es|pre|gui|ça$ras|
pássaros	pás$sa|ros|
candidatares	can|di|da|ta$res|
encarapinhando	en|ca|ra|pi|nhan$do|
semicircunferência	se|mi|cir|cun|fe|rên$cia|
irritaste	ir|ri|tas$te|
chilrear-vos-ão	chil|re|ar|vos|ão$
passivar-te-ias	pas|si|var|te|i$as|
escaramuço	es|ca|ra|mu$ço|
enforcar-lhe-eis	en|for|car|lhe|eis$
elevaríeis	e|le|va|rí$eis|
apancarás	a|pan|ca|rás$
monopolizariam	mo|no|po|li|za|ri|am$
abrunho	a|bru$nho|
retribuiríamos	re|tri|bu|i|rí$a|mos|
achastes	a|chas$tes|
bocejar-vos-ás	bo|ce|jar|vos|ás$
aparássemos	a|pa|rás$se|mos|
usará	u|sa|rá$
recavar-lhe-ão	re|ca|var|lhe|ão$
canonizadas	ca|no|ni|za$das|
apropriarão	a|pro|pri|a|rão$
manquejem	man|que$jem|
expunham	ex|pu|nham$
potenciava	po|ten|ci|a$va|
contactante	con|tac|tan$te|
desagradássemos	de|sa|gra|dás$se|mos|
agradecereis	a|gra|de|ce|reis$
advogá-lo-eis	ad|vo|gá|lo|eis$
k	k$
enigma	e|nig$ma|
cumprimentavas	cum|pri|men|ta$vas|
virado	vi|ra$do|
aplanar	a|pla|nar$
reactivação	re|ac|ti|va|ção$
telefonares	te|le|fo|na$res|
regramos	re|gra$mos|
perpassávamos	per|pas|sá$va|mos|
viajasse	vi|a|jas$se|
rescrevido	res|cre|vi$do|
inamovível	i|na|mo|ví$vel|
deliraríamos	de|li|ra|rí$a|mos|
pontificou	pon|ti|fi|cou$
parafuseis	pa|ra|fu|seis$
concretizas	con|cre|ti$zas|
destingindo	des|tin|gin$do|
assapatarmos	as|sa|pa|tar$mos|
maçonizavam	ma|ço|ni|za|vam$
tarifo	ta|ri$fo|
reptara	rep|ta$ra|
ladreis	la|dreis$
cordeando	cor|de|an$do|
alqueirámos	al|quei|rá$mos|
armários	ar|má$rios|
embrandecêsseis	em|bran|de|cês$seis|
reviravoltas	re|vi|ra|vol$tas|
raspancei	ras|pan|cei$
dançássemos	dan|çás$se|mos|
poisáveis	poi|sá$veis|
tamborilarão	tam|bo|ri|la|rão$
aclimaremos	a|cli|ma|re$mos|
vitimáveis	vi|ti|má$veis|
retivésseis	re|ti|vés$seis|
balouçardes	ba|lou|çar$des|
desmentiria	des|men|ti|ri$a|
agrilhoamentos	a|gri|lho|a|men$tos|
roncante	ron|can$te|
soubesses	sou|bes$ses|
ensoparás	en|so|pa|rás$
parlam	par|lam$
engrosseis	en|gros|seis$
condenar-se-ia	con|de|nar|se|i$a|
estatelastes	es|ta|te|las$tes|
remorderei	re|mor|de|rei$
confiaria	con|fi|a|ri$a|
procrastinávamos	pro|cras|ti|ná$va|mos|
humildaríeis	hu|mil|da|rí$eis|
vigiaram	vi|gi|a$ram|
cultivadores	cul|ti|va|do$res|
parasitemos	pa|ra|si|te$mos|
trunfemos	trun|fe$mos|
liquidificarás	li|qui|di|fi|ca|rás$
desinfestem	de|sin|fes$tem|
desencerraríeis	de|sen|cer|ra|rí$eis|
englobareis	en|glo|ba|reis$
republicanizásseis	re|pu|bli|ca|ni|zás$seis|
desamolgue	de|sa|mol$gue|
esguichar	es|gui|char$
engalfinhares	en|gal|fi|nha$res|
retraçaste	re|tra|ças$te|
duplicai	du|pli|cai$
encostada	en|cos|ta$da|
detestam	de|tes|tam$
desratizassem	des|ra|ti|zas$sem|
beijocariam	bei|jo|ca|ri|am$
palhetão	pa|lhe|tão$
telegrafaríamos	te|le|gra|fa|rí$a|mos|
friccionarmos	fric|ci|o|nar$mos|
esfregais	es|fre|gais$
meteríamos	me|te|rí$a|mos|
limpeza	lim|pe$za|
arregaçar-vos-ei	ar|re|ga|çar|vos|ei$
esgrimir	es|gri|mir$
bacilizarão	ba|ci|li|za|rão$
prendia	pren|di$a|
disparatarão	dis|pa|ra|ta|rão$
rematássemos	re|ma|tás$se|mos|
afrontaras	a|fron|ta$ras|
preconizaríeis	pre|co|ni|za|rí$eis|
tatuarás	ta|tu|a|rás$
calcorreador	cal|cor|re|a$dor|
desorganizações	de|sor|ga|ni|za|ções$
dispensas	dis|pen$sas|
dependures	de|pen|du$res|
apologizará	a|po|lo|gi|za|rá$
arruçáreis	ar|ru|çá$reis|
sentimentalizaras	sen|ti|men|ta|li|za$ras|
cobrásseis	co|brás$seis|
embargarem	em|bar|ga$rem|
dissemines	dis|se|mi$nes|
antemoverá	an|te|mo|ve|rá$
subalternizar	su|bal|ter|ni|zar$
sobreluzia	so|bre|lu|zi$a|
dormitariam	dor|mi|ta|ri|am$
arregimento	ar|re|gi|men$to|
diplomados	di|plo|ma$dos|
Nazaré	na|za|ré$
avioletámos	a|vi|o|le|tá$mos|
estragos	es|tra$gos|
apoiáveis	a|poi|á$veis|
arabesco	a|ra|bes$co|
magrezas	ma|gre$zas|
tolerar-lhes-eis	to|le|rar|lhes|eis$
vindimarei	vin|di|ma|rei$
desempancas	de|sem|pan$cas|
apeçonhemos	a|pe|ço|nhe$mos|
empreendido	em|pre|en|di$do|
aglomerava	a|glo|me|ra$va|
despontadoras	des|pon|ta|do$ras|
mostrengássemos	mos|tren|gás$se|mos|
decretar-lhes-ei	de|cre|tar|lhes|ei$
emborrachastes	em|bor|ra|chas$tes|
circulação	cir|cu|la|ção$
calculador	cal|cu|la$dor|
noroestearás	no|ro|es|te|a|rás$
incumbir-me-ei	in|cum|bir|me|ei$
piarem	pi|a$rem|
assoará	as|so|a|rá$
retomo	re|to$mo|
entardecêsseis	en|tar|de|cês$seis|
apaziguar-nos-ão	a|pa|zi|guar|nos|ão$
singrávamos	sin|grá$va|mos|
retostaras	re|tos|ta$ras|
medalhar-me-ias	me|da|lhar|me|i$as|
timonassem	ti|mo|nas$sem|
palitavas	pa|li|ta$vas|
desabitante	de|sa|bi|tan$te|
intitules	in|ti|tu$les|
ceguinhos	ce|gui$nhos|
maçonizaria	ma|ço|ni|za|ri$a|
evocássemos	e|vo|cás$se|mos|
escorreram	es|cor|re$ram|
missionar	mis|si|o|nar$
angariarás	an|ga|ri|a|rás$
urtigamos	ur|ti|ga$mos|
lograsse	lo|gras$se|
granizemos	gra|ni|ze$mos|
elucidava	e|lu|ci|da$va|
deteríeis-te	de|te|rí$eis|te|
comocionadas	co|mo|ci|o|na$das|
emanada	e|ma|na$da|
anseie	an|sei$e|
lanhavas	la|nha$vas|
esperançaria	es|pe|ran|ça|ri$a|
adelgaçássemos	a|del|ga|çás$se|mos|
ruge	ru$ge|
pretendedores	pre|ten|de|do$res|
estupraríeis	es|tu|pra|rí$eis|
empoeiráveis	em|poei|rá$veis|
orquestrei	or|ques|trei$
frenou	fre|nou$
jurariam	ju|ra|ri|am$
grasses	gras$ses|
sonhava	so|nha$va|
arrebentemos	ar|re|ben|te$mos|
falecerei	fa|le|ce|rei$
desempacotar	de|sem|pa|co|tar$
valva	val$va|
repaginara	re|pa|gi|na$ra|
amassadas	a|mas|sa$das|
decrepitávamos	de|cre|pi|tá$va|mos|
acidificássemos	a|ci|di|fi|cás$se|mos|
chegasses	che|gas$ses|
equidiste	e|qui|dis$te|
esfuziareis	es|fu|zi|a|reis$
afinfaríeis	a|fin|fa|rí$eis|
precavo	pre|ca$vo|
amolengará	a|mo|len|ga|rá$
planemos	pla|ne$mos|
pontapeou	pon|ta|pe|ou$
carvoejados	car|vo|e|ja$dos|
abesourado	a|be|sou|ra$do|
amar-nos-eis	a|mar|nos|eis$
climatizastes	cli|ma|ti|zas$tes|
represarão	re|pre|sa|rão$
putrificasse	pu|tri|fi|cas$se|
climática	cli|má$ti|ca|
apunhalava	a|pu|nha|la$va|
encandearam	en|can|de|a$ram|
acefalia	a|ce|fa|li$a|
desarrolháveis	de|sar|ro|lhá$veis|
sente	sen$te|
concatenei	con|ca|te|nei$
alcoolizastes	al|co|o|li|zas$tes|
atacanhareis	a|ta|ca|nha|reis$
